source,target,weight,community
Akaza,Gyokko,6,0
Akaza,Muzan,13,0
Akaza,Kokushibo,18,0
Akaza,Hantengu,5,0
Gyokko,Kokushibo,5,1
Gyokko,Hotaru,5,1
Gyokko,Muichiro,48,1
Gyokko,Kozo,5,1
Gyokko,Haganezuka,5,1
Muzan,Kokushibo,5,0
Muzan,Gyutaro,6,0
Muzan,Tanjiro,5,0
Muzan,Mitsuri,6,0
Muzan,Nezuko,17,0
Muzan,Hantengu,5,0
Gyutaro,Tanjiro,6,0
Gyutaro,Hantengu,5,0
Hantengu,Sumiyoshi,5,0
Hantengu,Tanjiro,59,0
Hantengu,Muichiro,22,0
Hantengu,Sekido,5,0
Hantengu,Hotaru,6,0
Hantengu,Nezuko,40,0
Hantengu,Aizetsu,11,0
Hantengu,Genya,25,0
Hantengu,Karaku,5,0
Hantengu,Zohakuten,6,0
Hantengu,Mitsuri,18,0
Hantengu,Zenitsu,5,0
Sumiyoshi,Kanao,10,2
Sumiyoshi,Tanjiro,5,2
Kanao,Tanjiro,11,2
Kanao,Goto,5,2
Kanao,Kiyo,6,2
Kanao,Inosuke,5,2
Tanjiro,Kakushi,11,2
Tanjiro,Goto,5,2
Tanjiro,Inosuke,17,2
Tanjiro,Hotaru,51,2
Tanjiro,Tecchin,6,2
Tanjiro,Genya,68,2
Tanjiro,Mitsuri,38,2
Tanjiro,Nezuko,90,2
Tanjiro,Muichiro,111,2
Tanjiro,Kotetsu,77,2
Tanjiro,Chachamaru,6,2
Tanjiro,Tamayo,5,2
Tanjiro,Sekido,15,2
Tanjiro,Urogi,29,2
Tanjiro,Karaku,5,2
Tanjiro,Aizetsu,10,2
Tanjiro,Zohakuten,10,2
Tanjiro,Zenitsu,6,2
Kakushi,Goto,6,2
Kakushi,Tengen,6,2
Kakushi,Inosuke,5,2
Kakushi,Kagaya,5,2
Kakushi,Mitsuri,6,2
Goto,Inosuke,6,2
Goto,Aoi,5,2
Kiyo,Sumi,6,2
Kiyo,Inosuke,5,2
Kiyo,Naho,6,2
Sumi,Naho,6,2
Naho,Aoi,6,2
Naho,Hotaru,5,2
Aoi,Zenitsu,5,2
Aoi,Inosuke,6,2
Zenitsu,Tengen,5,2
Inosuke,Shinobu,10,2
Hotaru,Kagaya,5,1
Hotaru,Tecchin,5,1
Hotaru,Mitsuri,6,1
Hotaru,Muichiro,5,1
Hotaru,Kotetsu,16,1
Hotaru,Karaku,5,1
Hotaru,Kozo,5,1
Kagaya,Muichiro,10,4
Kagaya,Zohakuten,5,4
Kagaya,Mitsuri,6,4
Tecchin,Mitsuri,10,4
Genya,Mitsuri,15,5
Genya,Karaku,5,5
Genya,Urogi,5,5
Genya,Nezuko,29,5
Genya,Aizetsu,35,5
Genya,Sekido,38,5
Genya,Sanemi,32,5
Genya,Zohakuten,5,5
Genya,Muichiro,6,5
Genya,Kotetsu,6,5
Mitsuri,Nezuko,11,4
Mitsuri,Muichiro,5,4
Mitsuri,Zohakuten,21,4
Mitsuri,Obanai,6,4
Nezuko,Muichiro,23,5
Nezuko,Karaku,17,5
Nezuko,Urogi,16,5
Nezuko,Aizetsu,6,5
Nezuko,Sekido,17,5
Nezuko,Tamayo,5,5
Nezuko,Zohakuten,5,5
Muichiro,Kotetsu,57,1
Muichiro,Kozo,51,1
Muichiro,Urogi,5,1
Muichiro,Yuichiro,22,1
Kotetsu,Kozo,28,1
Kotetsu,Sekido,5,1
Kotetsu,Haganezuka,5,1
Chachamaru,Tamayo,6,3
Chachamaru,Yushiro,6,3
Tamayo,Yushiro,6,3
Sekido,Karaku,30,5
Sekido,Aizetsu,15,5
Sekido,Sanemi,5,5
Karaku,Aizetsu,5,5
Karaku,Urogi,6,5
Urogi,Aizetsu,5,5
Zohakuten,Obanai,5,4
